VideoId,LabelConfidencePairs
/storage/haibn/yt8m/test_lotus/lotus_video_7588.mp4,Entertainment
/storage/haibn/yt8m/test_lotus/lotus_video_6282.mp4,News program
/storage/haibn/yt8m/test_lotus/lotus_video_2016.mp4,News program
/storage/haibn/yt8m/test_lotus/lotus_video_3318.mp4,Entertainment
/storage/haibn/yt8m/test_lotus/lotus_video_1276.mp4,News program
/storage/haibn/yt8m/test_lotus/lotus_video_6476.mp4,Entertainment
/storage/haibn/yt8m/test_lotus/lotus_video_7950.mp4,News program
/storage/haibn/yt8m/test_lotus/lotus_video_6106.mp4,News program
/storage/haibn/yt8m/test_lotus/lotus_video_566.mp4,News program
/storage/haibn/yt8m/test_lotus/lotus_video_2699.mp4,News program
/storage/haibn/yt8m/test_lotus/lotus_video_7352.mp4,News program
/storage/haibn/yt8m/test_lotus/lotus_video_5326.mp4,News program
/storage/haibn/yt8m/test_lotus/lotus_video_5959.mp4,Entertainment
/storage/haibn/yt8m/test_lotus/lotus_video_752.mp4,News program
/storage/haibn/yt8m/test_lotus/lotus_video_8654.mp4,News program
/storage/haibn/yt8m/test_lotus/lotus_video_3248.mp4,News program
/storage/haibn/yt8m/test_lotus/lotus_video_2810.mp4,News program
/storage/haibn/yt8m/test_lotus/lotus_video_989.mp4,News program
/storage/haibn/yt8m/test_lotus/lotus_video_4429.mp4,News program
/storage/haibn/yt8m/test_lotus/lotus_video_9107.mp4,News program
/storage/haibn/yt8m/test_lotus/lotus_video_441.mp4,News program
/storage/haibn/yt8m/test_lotus/lotus_video_8890.mp4,Entertainment
/storage/haibn/yt8m/test_lotus/lotus_video_1250.mp4,News program
/storage/haibn/yt8m/test_lotus/lotus_video_5266.mp4,Entertainment
/storage/haibn/yt8m/test_lotus/lotus_video_3707.mp4,News program
/storage/haibn/yt8m/test_lotus/lotus_video_5787.mp4,News program
/storage/haibn/yt8m/test_lotus/lotus_video_4235.mp4,Entertainment
/storage/haibn/yt8m/test_lotus/lotus_video_8732.mp4,News program
/storage/haibn/yt8m/test_lotus/lotus_video_6443.mp4,News program
/storage/haibn/yt8m/test_lotus/lotus_video_6564.mp4,Entertainment
/storage/haibn/yt8m/test_lotus/lotus_video_3289.mp4,News program
/storage/haibn/yt8m/test_lotus/lotus_video_4653.mp4,News program
/storage/haibn/yt8m/test_lotus/lotus_video_1769.mp4,News program
/storage/haibn/yt8m/test_lotus/lotus_video_5890.mp4,News program
/storage/haibn/yt8m/test_lotus/lotus_video_8776.mp4,Entertainment
/storage/haibn/yt8m/test_lotus/lotus_video_4097.mp4,Entertainment
/storage/haibn/yt8m/test_lotus/lotus_video_5778.mp4,News program
/storage/haibn/yt8m/test_lotus/lotus_video_6203.mp4,Entertainment
/storage/haibn/yt8m/test_lotus/lotus_video_6535.mp4,News program
/storage/haibn/yt8m/test_lotus/lotus_video_3427.mp4,News program
/storage/haibn/yt8m/test_lotus/lotus_video_8153.mp4,Entertainment
/storage/haibn/yt8m/test_lotus/lotus_video_3870.mp4,News program
/storage/haibn/yt8m/test_lotus/lotus_video_4550.mp4,News program
/storage/haibn/yt8m/test_lotus/lotus_video_4951.mp4,News program
/storage/haibn/yt8m/test_lotus/lotus_video_6578.mp4,News program
/storage/haibn/yt8m/test_lotus/lotus_video_1137.mp4,Entertainment
/storage/haibn/yt8m/test_lotus/lotus_video_2813.mp4,News program
/storage/haibn/yt8m/test_lotus/lotus_video_4137.mp4,News program
/storage/haibn/yt8m/test_lotus/lotus_video_2122.mp4,News program
/storage/haibn/yt8m/test_lotus/lotus_video_5772.mp4,Entertainment
/storage/haibn/yt8m/test_lotus/lotus_video_9006.mp4,News program
/storage/haibn/yt8m/test_lotus/lotus_video_1523.mp4,News program
/storage/haibn/yt8m/test_lotus/lotus_video_4207.mp4,News program
/storage/haibn/yt8m/test_lotus/lotus_video_4193.mp4,News program
/storage/haibn/yt8m/test_lotus/lotus_video_7408.mp4,News program
/storage/haibn/yt8m/test_lotus/lotus_video_649.mp4,News program
/storage/haibn/yt8m/test_lotus/lotus_video_1974.mp4,Entertainment
/storage/haibn/yt8m/test_lotus/lotus_video_4542.mp4,News program
/storage/haibn/yt8m/test_lotus/lotus_video_2018.mp4,News program
/storage/haibn/yt8m/test_lotus/lotus_video_9056.mp4,News program
/storage/haibn/yt8m/test_lotus/lotus_video_7296.mp4,Entertainment
/storage/haibn/yt8m/test_lotus/lotus_video_5323.mp4,News program
/storage/haibn/yt8m/test_lotus/lotus_video_4284.mp4,News program
/storage/haibn/yt8m/test_lotus/lotus_video_8845.mp4,News program
/storage/haibn/yt8m/test_lotus/lotus_video_1451.mp4,News program
/storage/haibn/yt8m/test_lotus/lotus_video_2254.mp4,News program
/storage/haibn/yt8m/test_lotus/lotus_video_3640.mp4,News program
/storage/haibn/yt8m/test_lotus/lotus_video_5830.mp4,News program
/storage/haibn/yt8m/test_lotus/lotus_video_8861.mp4,News program
/storage/haibn/yt8m/test_lotus/lotus_video_5811.mp4,Entertainment
/storage/haibn/yt8m/test_lotus/lotus_video_4328.mp4,News program
/storage/haibn/yt8m/test_lotus/lotus_video_2845.mp4,News program
/storage/haibn/yt8m/test_lotus/lotus_video_3889.mp4,News program
/storage/haibn/yt8m/test_lotus/lotus_video_4079.mp4,News program
/storage/haibn/yt8m/test_lotus/lotus_video_453.mp4,News program
/storage/haibn/yt8m/test_lotus/lotus_video_5685.mp4,Entertainment
/storage/haibn/yt8m/test_lotus/lotus_video_5523.mp4,News program
/storage/haibn/yt8m/test_lotus/lotus_video_6546.mp4,News program
/storage/haibn/yt8m/test_lotus/lotus_video_7798.mp4,News program
/storage/haibn/yt8m/test_lotus/lotus_video_1535.mp4,News program
/storage/haibn/yt8m/test_lotus/lotus_video_8565.mp4,News program
/storage/haibn/yt8m/test_lotus/lotus_video_6698.mp4,News program
/storage/haibn/yt8m/test_lotus/lotus_video_8517.mp4,News program
/storage/haibn/yt8m/test_lotus/lotus_video_642.mp4,News program
/storage/haibn/yt8m/test_lotus/lotus_video_3917.mp4,News program
/storage/haibn/yt8m/test_lotus/lotus_video_638.mp4,News program
/storage/haibn/yt8m/test_lotus/lotus_video_3936.mp4,Entertainment
/storage/haibn/yt8m/test_lotus/lotus_video_5192.mp4,Entertainment
/storage/haibn/yt8m/test_lotus/lotus_video_6972.mp4,Entertainment
/storage/haibn/yt8m/test_lotus/lotus_video_6950.mp4,Entertainment
/storage/haibn/yt8m/test_lotus/lotus_video_6357.mp4,Entertainment
/storage/haibn/yt8m/test_lotus/lotus_video_161.mp4,News program
/storage/haibn/yt8m/test_lotus/lotus_video_636.mp4,News program
/storage/haibn/yt8m/test_lotus/lotus_video_5839.mp4,News program
/storage/haibn/yt8m/test_lotus/lotus_video_5963.mp4,News program
/storage/haibn/yt8m/test_lotus/lotus_video_6059.mp4,Entertainment
/storage/haibn/yt8m/test_lotus/lotus_video_8583.mp4,News program
/storage/haibn/yt8m/test_lotus/lotus_video_4117.mp4,News program
/storage/haibn/yt8m/test_lotus/lotus_video_7453.mp4,Entertainment
/storage/haibn/yt8m/test_lotus/lotus_video_2046.mp4,News program
/storage/haibn/yt8m/test_lotus/lotus_video_7797.mp4,Entertainment
/storage/haibn/yt8m/test_lotus/lotus_video_5562.mp4,News program
/storage/haibn/yt8m/test_lotus/lotus_video_6375.mp4,News program
/storage/haibn/yt8m/test_lotus/lotus_video_6844.mp4,Entertainment
/storage/haibn/yt8m/test_lotus/lotus_video_7404.mp4,News program
/storage/haibn/yt8m/test_lotus/lotus_video_3461.mp4,News program
/storage/haibn/yt8m/test_lotus/lotus_video_2438.mp4,News program
/storage/haibn/yt8m/test_lotus/lotus_video_1172.mp4,News program
/storage/haibn/yt8m/test_lotus/lotus_video_5074.mp4,News program
/storage/haibn/yt8m/test_lotus/lotus_video_380.mp4,News program
/storage/haibn/yt8m/test_lotus/lotus_video_5082.mp4,News program
/storage/haibn/yt8m/test_lotus/lotus_video_8612.mp4,News program
/storage/haibn/yt8m/test_lotus/lotus_video_4645.mp4,News program
/storage/haibn/yt8m/test_lotus/lotus_video_2732.mp4,News program
